"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2005,7,"Kreis 7",0,"Grundtarif",45.7,19.8,73.6
2005,7,"Kreis 7",1,"Verheiratetentarif",105.4,64.4,179.5
2005,7,"Kreis 7",2,"Einelternfamilientarif",56.3,35,90.2
2005,8,"Kreis 8",0,"Grundtarif",46.1,21.3,71.8
2005,8,"Kreis 8",1,"Verheiratetentarif",91.75,58.9,140.5
2005,8,"Kreis 8",2,"Einelternfamilientarif",50.4,30.7,76.9
2005,9,"Kreis 9",0,"Grundtarif",36,19,54
2005,9,"Kreis 9",1,"Verheiratetentarif",62.8,45,85.7
2005,9,"Kreis 9",2,"Einelternfamilientarif",36.2,20,53.3
2005,10,"Kreis 10",0,"Grundtarif",42.2,21,63.2
2005,10,"Kreis 10",1,"Verheiratetentarif",75.6,53,112.6
2005,10,"Kreis 10",2,"Einelternfamilientarif",43.35,26.1,63
2005,11,"Kreis 11",0,"Grundtarif",36.2,18.4,55.1
2005,11,"Kreis 11",1,"Verheiratetentarif",64.5,44.5,88.9
2005,11,"Kreis 11",2,"Einelternfamilientarif",35.6,17.4,52.1
2005,12,"Kreis 12",0,"Grundtarif",30,15.1,45
2005,12,"Kreis 12",1,"Verheiratetentarif",56.75,39.4,75
2005,12,"Kreis 12",2,"Einelternfamilientarif",31.2,13.9,46
2006,1,"Kreis 1",0,"Grundtarif",43.75,17.7,76.2
2006,1,"Kreis 1",1,"Verheiratetentarif",102.85,61.95,165.4
2006,1,"Kreis 1",2,"Einelternfamilientarif",48,23.8,98.7
2006,2,"Kreis 2",0,"Grundtarif",41.2,20.3,65
2006,2,"Kreis 2",1,"Verheiratetentarif",76.4,52.55,118.45
2006,2,"Kreis 2",2,"Einelternfamilientarif",40.25,22.8,65.95
2006,3,"Kreis 3",0,"Grundtarif",37.9,19,58.1
2006,3,"Kreis 3",1,"Verheiratetentarif",59.85,39,85.9
2006,3,"Kreis 3",2,"Einelternfamilientarif",35.2,18,51.9
2006,4,"Kreis 4",0,"Grundtarif",33.4,16,53.2
2006,4,"Kreis 4",1,"Verheiratetentarif",50.4,31.6,71.3
2006,4,"Kreis 4",2,"Einelternfamilientarif",29.95,12.4,47.9
2006,5,"Kreis 5",0,"Grundtarif",40.9,20,63.35
2006,5,"Kreis 5",1,"Verheiratetentarif",58.4,39.1,82.7
2006,5,"Kreis 5",2,"Einelternfamilientarif",36.6,19.5,55.4
2006,6,"Kreis 6",0,"Grundtarif",43.2,21.5,68.3
2006,6,"Kreis 6",1,"Verheiratetentarif",81.7,53.9,127.5
2006,6,"Kreis 6",2,"Einelternfamilientarif",41.2,24.8,66.6
2006,7,"Kreis 7",0,"Grundtarif",46.1,20,75.5
2006,7,"Kreis 7",1,"Verheiratetentarif",107.8,65.25,182.55
2006,7,"Kreis 7",2,"Einelternfamilientarif",55.8,34.2,90.35
2006,8,"Kreis 8",0,"Grundtarif",47.4,21.8,73.6
2006,8,"Kreis 8",1,"Verheiratetentarif",93.15,59.55,151.95
2006,8,"Kreis 8",2,"Einelternfamilientarif",47.2,30.6,72.2
2006,9,"Kreis 9",0,"Grundtarif",36.8,19.4,54.9
2006,9,"Kreis 9",1,"Verheiratetentarif",61.7,43.1,85.4
2006,9,"Kreis 9",2,"Einelternfamilientarif",33.8,18.4,52.05
2006,10,"Kreis 10",0,"Grundtarif",43.2,21.9,64.7
2006,10,"Kreis 10",1,"Verheiratetentarif",75.8,52,112.6
2006,10,"Kreis 10",2,"Einelternfamilientarif",40.7,23.7,60
2006,11,"Kreis 11",0,"Grundtarif",36.8,18.4,56.4
2006,11,"Kreis 11",1,"Verheiratetentarif",63,42.2,89.2
2006,11,"Kreis 11",2,"Einelternfamilientarif",34.6,15,51.8
2006,12,"Kreis 12",0,"Grundtarif",30.1,15.3,45.4
2006,12,"Kreis 12",1,"Verheiratetentarif",55.2,37,74.8
2006,12,"Kreis 12",2,"Einelternfamilientarif",28.7,7.9,42.25
2007,1,"Kreis 1",0,"Grundtarif",46.2,18.6,82
2007,1,"Kreis 1",1,"Verheiratetentarif",108.6,65.65,177.3
2007,1,"Kreis 1",2,"Einelternfamilientarif",50,25.9,86.8
2007,2,"Kreis 2",0,"Grundtarif",42.8,21.2,67.9
2007,2,"Kreis 2",1,"Verheiratetentarif",80.8,54.1,126.3
2007,2,"Kreis 2",2,"Einelternfamilientarif",41.85,24,69.8
2007,3,"Kreis 3",0,"Grundtarif",39.8,20,60.3
2007,3,"Kreis 3",1,"Verheiratetentarif",62,40.3,89.5
2007,3,"Kreis 3",2,"Einelternfamilientarif",35.9,19.9,55
2007,4,"Kreis 4",0,"Grundtarif",34.6,16.9,55.1
2007,4,"Kreis 4",1,"Verheiratetentarif",52.2,33.3,74.7
2007,4,"Kreis 4",2,"Einelternfamilientarif",29.65,9.8,45.6
2007,5,"Kreis 5",0,"Grundtarif",43.3,21.5,65.9
2007,5,"Kreis 5",1,"Verheiratetentarif",60,39.5,86.4
2007,5,"Kreis 5",2,"Einelternfamilientarif",36.8,17.9,57.6
2007,6,"Kreis 6",0,"Grundtarif",45.3,22.5,71.2
2007,6,"Kreis 6",1,"Verheiratetentarif",83.7,55.2,133.5
2007,6,"Kreis 6",2,"Einelternfamilientarif",45.65,27.95,72.5
2007,7,"Kreis 7",0,"Grundtarif",48.5,20.9,80.3
2007,7,"Kreis 7",1,"Verheiratetentarif",111.75,68.7,189.1
2007,7,"Kreis 7",2,"Einelternfamilientarif",57.85,34.8,100.65
2007,8,"Kreis 8",0,"Grundtarif",50,22.9,80
2007,8,"Kreis 8",1,"Verheiratetentarif",96,62,158.15
2007,8,"Kreis 8",2,"Einelternfamilientarif",50.5,30.45,78.3
2007,9,"Kreis 9",0,"Grundtarif",38.3,20,57
2007,9,"Kreis 9",1,"Verheiratetentarif",64.3,44.7,89.3
2007,9,"Kreis 9",2,"Einelternfamilientarif",36.2,19.8,53.5
