"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
2004,9,"Kreis 9",1,"Verheiratetentarif",69,0,262
2004,9,"Kreis 9",2,"Einelternfamilientarif",1,0,32
2004,10,"Kreis 10",0,"Grundtarif",34,2,161
2004,10,"Kreis 10",1,"Verheiratetentarif",144,21,460
2004,10,"Kreis 10",2,"Einelternfamilientarif",13,0,76
2004,11,"Kreis 11",0,"Grundtarif",18,0,99
2004,11,"Kreis 11",1,"Verheiratetentarif",66,0,254.5
2004,11,"Kreis 11",2,"Einelternfamilientarif",3,0,34
2004,12,"Kreis 12",0,"Grundtarif",13,0,78
2004,12,"Kreis 12",1,"Verheiratetentarif",37,0,171
2004,12,"Kreis 12",2,"Einelternfamilientarif",0,0,14
2005,1,"Kreis 1",0,"Grundtarif",34,0,208
2005,1,"Kreis 1",1,"Verheiratetentarif",234,32,881
2005,1,"Kreis 1",2,"Einelternfamilientarif",28,0,177
2005,2,"Kreis 2",0,"Grundtarif",37,3,195
2005,2,"Kreis 2",1,"Verheiratetentarif",162,24,508
2005,2,"Kreis 2",2,"Einelternfamilientarif",14,0,82.5
2005,3,"Kreis 3",0,"Grundtarif",20,0,101
2005,3,"Kreis 3",1,"Verheiratetentarif",53,0,222
2005,3,"Kreis 3",2,"Einelternfamilientarif",3,0,41
2005,4,"Kreis 4",0,"Grundtarif",7,0,58
2005,4,"Kreis 4",1,"Verheiratetentarif",3,0,90
2005,4,"Kreis 4",2,"Einelternfamilientarif",0,0,24
2005,5,"Kreis 5",0,"Grundtarif",15,0,79
2005,5,"Kreis 5",1,"Verheiratetentarif",20,0,169
2005,5,"Kreis 5",2,"Einelternfamilientarif",4,0,59
2005,6,"Kreis 6",0,"Grundtarif",43,4,191
2005,6,"Kreis 6",1,"Verheiratetentarif",164,27,530
2005,6,"Kreis 6",2,"Einelternfamilientarif",27,0,117
2005,7,"Kreis 7",0,"Grundtarif",62,7,335
2005,7,"Kreis 7",1,"Verheiratetentarif",352,81,1221
2005,7,"Kreis 7",2,"Einelternfamilientarif",44,2,235
2005,8,"Kreis 8",0,"Grundtarif",43,3,217
2005,8,"Kreis 8",1,"Verheiratetentarif",218,32,733.5
2005,8,"Kreis 8",2,"Einelternfamilientarif",27,1,138
2005,9,"Kreis 9",0,"Grundtarif",19,0,112
2005,9,"Kreis 9",1,"Verheiratetentarif",67,0,268.5
2005,9,"Kreis 9",2,"Einelternfamilientarif",1,0,34
2005,10,"Kreis 10",0,"Grundtarif",34,2,168
2005,10,"Kreis 10",1,"Verheiratetentarif",147,20,489
2005,10,"Kreis 10",2,"Einelternfamilientarif",16.5,0,87
2005,11,"Kreis 11",0,"Grundtarif",17,0,100
2005,11,"Kreis 11",1,"Verheiratetentarif",65,0,265
2005,11,"Kreis 11",2,"Einelternfamilientarif",2,0,35
2005,12,"Kreis 12",0,"Grundtarif",11,0,74
2005,12,"Kreis 12",1,"Verheiratetentarif",32,0,169
2005,12,"Kreis 12",2,"Einelternfamilientarif",0,0,13
2006,1,"Kreis 1",0,"Grundtarif",31,0,212
2006,1,"Kreis 1",1,"Verheiratetentarif",275,41,946.5
2006,1,"Kreis 1",2,"Einelternfamilientarif",36,0,282
2006,2,"Kreis 2",0,"Grundtarif",38,3,200
2006,2,"Kreis 2",1,"Verheiratetentarif",168,25,542.5
2006,2,"Kreis 2",2,"Einelternfamilientarif",13,0,87.5
2006,3,"Kreis 3",0,"Grundtarif",20,0,105
2006,3,"Kreis 3",1,"Verheiratetentarif",52,0,228.5
2006,3,"Kreis 3",2,"Einelternfamilientarif",4,0,41
2006,4,"Kreis 4",0,"Grundtarif",7,0,59
2006,4,"Kreis 4",1,"Verheiratetentarif",3,0,92
2006,4,"Kreis 4",2,"Einelternfamilientarif",0,0,27.5
2006,5,"Kreis 5",0,"Grundtarif",16,0,81
2006,5,"Kreis 5",1,"Verheiratetentarif",26,0,187
2006,5,"Kreis 5",2,"Einelternfamilientarif",9,0,79
2006,6,"Kreis 6",0,"Grundtarif",43,4,196
2006,6,"Kreis 6",1,"Verheiratetentarif",175,32,560
2006,6,"Kreis 6",2,"Einelternfamilientarif",25,0,126
2006,7,"Kreis 7",0,"Grundtarif",68,7,354
2006,7,"Kreis 7",1,"Verheiratetentarif",385,88.5,1320.5
